Resume_Text,Category
"I am a passionate Software Tester with experience in QTP, Bug Tracking, Regression Testing, JUnit, PyTest, Selenium, LoadRunner. I have worked on various projects using these technologies. I am looking for a challenging role. Hardworking Problem solving",Software Tester
"I am a passionate Data Analyst with experience in Tableau, Cleaning, Matplotlib, Power BI, SQL, Seaborn, Python, Excel, NumPy, Pandas. I have worked on various projects using these technologies. I am looking for a challenging role. Degree in Computer Science Communication",Data Analyst
"I am a passionate Python Developer with experience in Keras, TensorFlow, NumPy, FastAPI, Scikit-learn, Django, Python, Flask. I have worked on various projects using these technologies. I am looking for a challenging role. Hardworking Problem solving",Python Developer
"I am a passionate Python Developer with experience in FastAPI, Keras, PyTorch, NumPy, Flask, TensorFlow, Pandas, Automation, Python, Scripting, Scikit-learn. I have worked on various projects using these technologies. I am looking for a challenging role. Problem solving Degree in Computer Science",Python Developer
"I am a passionate Web Developer with experience in Flask, Frontend, Node.js, Backend, API, Django, REST, React, Vue, Git, JavaScript, CSS, SQL, Angular, HTML. I have worked on various projects using these technologies. I am looking for a challenging role. Degree in Computer Science Problem solving",Web Developer
"I am a passionate Data Analyst with experience in Matplotlib, Seaborn, Pandas, Tableau, SQL, Data Visualization, NumPy. I have worked on various projects using these technologies. I am looking for a challenging role. Degree in Computer Science Communication",Data Analyst
"I am a passionate Web Developer with experience in REST, JavaScript, Angular, HTML, Git, Flask, React, CSS, API, Frontend, Backend, Django, Vue, Node.js. I have worked on various projects using these technologies. I am looking for a challenging role. Degree in Computer Science Hardworking",Web Developer
"I am a passionate Designer with experience in Photoshop, Creative, Adobe XD, InDesign, Prototyping, Sketch, Wireframing, Figma, Illustrator. I have worked on various projects using these technologies. I am looking for a challenging role. Communication Problem solving",Designer
"I am a passionate Python Developer with experience in PyTorch, Automation, Python, TensorFlow, FastAPI, Django, NumPy. I have worked on various projects using these technologies. I am looking for a challenging role. Team player Hardworking",Python Developer
"I am a passionate Data Analyst with experience in Matplotlib, Excel, Cleaning, Seaborn, Statistics, Pandas, Python, Power BI, Tableau, NumPy, EDA, SQL. I have worked on various projects using these technologies. I am looking for a challenging role. Communication Team player",Data Analyst
"I am a passionate Web Developer with experience in Frontend, Flask, Django, React, REST, HTML. I have worked on various projects using these technologies. I am looking for a challenging role. Communication Problem solving",Web Developer
"I am a passionate Java Developer with experience in Java, Spring, JDBC, OOP, Microservices, Maven, JSP, Multithreading, J2EE, Servlets, Hibernate, Gradle. I have worked on various projects using these technologies. I am looking for a challenging role. Team player Problem solving",Java Developer
"I am a passionate Data Analyst with experience in EDA, Statistics, Tableau, Python, SQL, Pandas, Seaborn, Data Visualization, Matplotlib, NumPy, Power BI. I have worked on various projects using these technologies. I am looking for a challenging role. Degree in Computer Science Hardworking",Data Analyst
"I am a passionate Python Developer with experience in Django, Keras, FastAPI, Pandas, Automation, Scripting, Scikit-learn, Flask, NumPy, PyTorch, TensorFlow. I have worked on various projects using these technologies. I am looking for a challenging role. Degree in Computer Science Problem solving",Python Developer
"I am a passionate Software Tester with experience in QTP, Automation, LoadRunner, PyTest, JUnit, Bug Tracking, Test Cases, JIRA. I have worked on various projects using these technologies. I am looking for a challenging role. Communication Problem solving",Software Tester
"I am a passionate Data Analyst with experience in NumPy, Excel, Tableau, Seaborn, Pandas, Matplotlib, Statistics, EDA, Data Visualization, Power BI. I have worked on various projects using these technologies. I am looking for a challenging role. Hardworking Problem solving",Data Analyst
"I am a passionate Software Tester with experience in Selenium, JUnit, PyTest, JIRA, Manual Testing, QTP, Bug Tracking. I have worked on various projects using these technologies. I am looking for a challenging role. Communication Team player",Software Tester
"I am a passionate Web Developer with experience in CSS, Angular, Vue, Frontend, JavaScript, Django, React, Node.js. I have worked on various projects using these technologies. I am looking for a challenging role. Team player Degree in Computer Science",Web Developer
"I am a passionate Python Developer with experience in Keras, NumPy, Scripting, Flask, PyTorch. I have worked on various projects using these technologies. I am looking for a challenging role. Communication Problem solving",Python Developer
"I am a passionate Data Analyst with experience in SQL, Pandas, NumPy, Matplotlib, Power BI, Data Visualization, Cleaning. I have worked on various projects using these technologies. I am looking for a challenging role. Hardworking Communication",Data Analyst
"I am a passionate Software Tester with experience in QTP, LoadRunner, Bug Tracking, Regression Testing, Manual Testing. I have worked on various projects using these technologies. I am looking for a challenging role. Communication Degree in Computer Science",Software Tester
"I am a passionate Data Analyst with experience in Pandas, SQL, Seaborn, Power BI, Excel, Cleaning, Statistics, NumPy, Tableau, EDA, Data Visualization, Python, Matplotlib. I have worked on various projects using these technologies. I am looking for a challenging role. Team player Communication",Data Analyst
"I am a passionate Data Analyst with experience in Seaborn, Python, Matplotlib, Excel, EDA, Data Visualization, Statistics, Tableau, Power BI. I have worked on various projects using these technologies. I am looking for a challenging role. Degree in Computer Science Problem solving",Data Analyst
"I am a passionate Java Developer with experience in J2EE, OOP, JDBC, Servlets, Maven, Microservices, JSP, Multithreading, Hibernate, Spring. I have worked on various projects using these technologies. I am looking for a challenging role. Team player Hardworking",Java Developer
"I am a passionate Software Tester with experience in Bug Tracking, Regression Testing, JUnit, LoadRunner, QTP, Manual Testing. I have worked on various projects using these technologies. I am looking for a challenging role. Degree in Computer Science Problem solving",Software Tester
"I am a passionate Python Developer with experience in Django, Flask, PyTorch, Scripting, TensorFlow, Keras, NumPy. I have worked on various projects using these technologies. I am looking for a challenging role. Communication Degree in Computer Science",Python Developer
"I am a passionate Data Analyst with experience in EDA, NumPy, Data Visualization, SQL, Excel, Pandas. I have worked on various projects using these technologies. I am looking for a challenging role. Degree in Computer Science Problem solving",Data Analyst
"I am a passionate Software Tester with experience in LoadRunner, JIRA, Selenium, QTP, JUnit, Bug Tracking, Automation, Test Cases, Manual Testing, Regression Testing, PyTest. I have worked on various projects using these technologies. I am looking for a challenging role. Degree in Computer Science Hardworking",Software Tester
"I am a passionate Designer with experience in Adobe XD, InDesign, UI/UX, Photoshop, Wireframing. I have worked on various projects using these technologies. I am looking for a challenging role. Degree in Computer Science Problem solving",Designer
"I am a passionate Software Tester with experience in Selenium, Regression Testing, JUnit, Test Cases, QTP, Manual Testing, Automation. I have worked on various projects using these technologies. I am looking for a challenging role. Hardworking Communication",Software Tester
"I am a passionate Designer with experience in InDesign, Wireframing, Illustrator, Photoshop, UI/UX, Adobe XD, Sketch, Prototyping. I have worked on various projects using these technologies. I am looking for a challenging role. Problem solving Degree in Computer Science",Designer
"I am a passionate Data Analyst with experience in Seaborn, Power BI, Cleaning, SQL, Matplotlib, Python, Statistics, Excel, Pandas, NumPy, EDA. I have worked on various projects using these technologies. I am looking for a challenging role. Degree in Computer Science Problem solving",Data Analyst
"I am a passionate Data Analyst with experience in Pandas, NumPy, Statistics, EDA, Power BI, SQL, Seaborn. I have worked on various projects using these technologies. I am looking for a challenging role. Communication Problem solving",Data Analyst
"I am a passionate Python Developer with experience in Scripting, Python, FastAPI, Scikit-learn, PyTorch, Django, NumPy. I have worked on various projects using these technologies. I am looking for a challenging role. Problem solving Degree in Computer Science",Python Developer
"I am a passionate Java Developer with experience in Gradle, Microservices, Servlets, J2EE, Maven. I have worked on various projects using these technologies. I am looking for a challenging role. Team player Problem solving",Java Developer
"I am a passionate Designer with experience in Sketch, Wireframing, Illustrator, Figma, Photoshop, User Research, Prototyping, Creative, UI/UX, Adobe XD. I have worked on various projects using these technologies. I am looking for a challenging role. Communication Hardworking",Designer
"I am a passionate Python Developer with experience in Keras, Flask, Scripting, Automation, Python, PyTorch, Scikit-learn, Pandas, Django, FastAPI, NumPy. I have worked on various projects using these technologies. I am looking for a challenging role. Degree in Computer Science Team player",Python Developer
"I am a passionate Software Tester with experience in Automation, JUnit, JIRA, PyTest, QTP. I have worked on various projects using these technologies. I am looking for a challenging role. Degree in Computer Science Hardworking",Software Tester
"I am a passionate Software Tester with experience in JUnit, Automation, LoadRunner, PyTest, Manual Testing. I have worked on various projects using these technologies. I am looking for a challenging role. Communication Hardworking",Software Tester
"I am a passionate Web Developer with experience in Node.js, Git, REST, Flask, Frontend, CSS, SQL, API, JavaScript, Django, Backend. I have worked on various projects using these technologies. I am looking for a challenging role. Problem solving Degree in Computer Science",Web Developer
"I am a passionate Python Developer with experience in Flask, Keras, Scripting, Scikit-learn, TensorFlow, FastAPI. I have worked on various projects using these technologies. I am looking for a challenging role. Communication Degree in Computer Science",Python Developer
"I am a passionate Designer with experience in Illustrator, Sketch, Adobe XD, User Research, UI/UX, Wireframing, Creative, Prototyping, InDesign, Figma, Photoshop. I have worked on various projects using these technologies. I am looking for a challenging role. Degree in Computer Science Team player",Designer
"I am a passionate Data Analyst with experience in Cleaning, Python, SQL, Excel, NumPy, Pandas, Matplotlib, EDA. I have worked on various projects using these technologies. I am looking for a challenging role. Team player Problem solving",Data Analyst
"I am a passionate Designer with experience in UI/UX, Wireframing, Illustrator, Adobe XD, User Research, InDesign, Creative, Prototyping. I have worked on various projects using these technologies. I am looking for a challenging role. Hardworking Problem solving",Designer
"I am a passionate Python Developer with experience in Pandas, Python, Flask, TensorFlow, PyTorch. I have worked on various projects using these technologies. I am looking for a challenging role. Team player Degree in Computer Science",Python Developer
"I am a passionate Java Developer with experience in Java, Maven, Multithreading, JSP, Hibernate, JDBC, Spring, J2EE, Gradle, OOP, Servlets. I have worked on various projects using these technologies. I am looking for a challenging role. Hardworking Team player",Java Developer
"I am a passionate Software Tester with experience in Automation, JIRA, LoadRunner, JUnit, PyTest, Test Cases, Bug Tracking. I have worked on various projects using these technologies. I am looking for a challenging role. Communication Hardworking",Software Tester
"I am a passionate Python Developer with experience in Automation, Keras, Flask, Scripting, NumPy, Django, Python, TensorFlow, Scikit-learn, PyTorch. I have worked on various projects using these technologies. I am looking for a challenging role. Communication Hardworking",Python Developer
"I am a passionate Designer with experience in Illustrator, InDesign, Figma, Creative, Adobe XD, User Research, Sketch, Photoshop. I have worked on various projects using these technologies. I am looking for a challenging role. Hardworking Problem solving",Designer
"I am a passionate Software Tester with experience in Bug Tracking, LoadRunner, Automation, Manual Testing, Regression Testing. I have worked on various projects using these technologies. I am looking for a challenging role. Team player Hardworking",Software Tester
"I am a passionate Designer with experience in Illustrator, Creative, Photoshop, InDesign, User Research, Figma, UI/UX, Adobe XD, Prototyping, Wireframing. I have worked on various projects using these technologies. I am looking for a challenging role. Problem solving Hardworking",Designer
"I am a passionate Designer with experience in User Research, Prototyping, Illustrator, Photoshop, Wireframing. I have worked on various projects using these technologies. I am looking for a challenging role. Team player Degree in Computer Science",Designer
"I am a passionate Python Developer with experience in NumPy, TensorFlow, Scripting, Django, PyTorch, Python, Keras, Automation, Pandas, Flask, Scikit-learn, FastAPI. I have worked on various projects using these technologies. I am looking for a challenging role. Degree in Computer Science Hardworking",Python Developer
"I am a passionate Web Developer with experience in SQL, Flask, Git, REST, Node.js, Frontend, Vue, Django, React. I have worked on various projects using these technologies. I am looking for a challenging role. Degree in Computer Science Hardworking",Web Developer
"I am a passionate Web Developer with experience in Git, Vue, SQL, React, JavaScript, Angular, HTML, Backend, Flask. I have worked on various projects using these technologies. I am looking for a challenging role. Degree in Computer Science Problem solving",Web Developer
"I am a passionate Data Analyst with experience in Data Visualization, NumPy, Power BI, SQL, Pandas, EDA. I have worked on various projects using these technologies. I am looking for a challenging role. Hardworking Degree in Computer Science",Data Analyst
"I am a passionate Python Developer with experience in Scripting, PyTorch, Automation, Keras, Scikit-learn. I have worked on various projects using these technologies. I am looking for a challenging role. Problem solving Hardworking",Python Developer
"I am a passionate Designer with experience in Illustrator, Wireframing, Adobe XD, Creative, Sketch, Figma, UI/UX, User Research, Photoshop, InDesign, Prototyping. I have worked on various projects using these technologies. I am looking for a challenging role. Degree in Computer Science Communication",Designer
"I am a passionate Web Developer with experience in HTML, API, Frontend, Backend, Flask, SQL, Django, JavaScript. I have worked on various projects using these technologies. I am looking for a challenging role. Hardworking Team player",Web Developer
"I am a passionate Designer with experience in Wireframing, Illustrator, Prototyping, Photoshop, Creative, InDesign, UI/UX, Figma, Sketch, Adobe XD, User Research. I have worked on various projects using these technologies. I am looking for a challenging role. Degree in Computer Science Problem solving",Designer
"I am a passionate Java Developer with experience in Multithreading, Spring, Hibernate, Microservices, Gradle. I have worked on various projects using these technologies. I am looking for a challenging role. Communication Problem solving",Java Developer
"I am a passionate Designer with experience in Prototyping, Wireframing, Photoshop, Sketch, Creative, Figma, User Research, UI/UX. I have worked on various projects using these technologies. I am looking for a challenging role. Problem solving Degree in Computer Science",Designer
"I am a passionate Java Developer with experience in Java, Multithreading, Servlets, Spring, JSP, Microservices, Maven, JDBC, J2EE, OOP. I have worked on various projects using these technologies. I am looking for a challenging role. Problem solving Degree in Computer Science",Java Developer
"I am a passionate Python Developer with experience in Pandas, Automation, PyTorch, Python, Flask, NumPy, Keras, Scripting, Scikit-learn, FastAPI. I have worked on various projects using these technologies. I am looking for a challenging role. Communication Hardworking",Python Developer
"I am a passionate Data Analyst with experience in Matplotlib, Cleaning, Python, EDA, Data Visualization, Excel, Seaborn, Statistics, Power BI, NumPy. I have worked on various projects using these technologies. I am looking for a challenging role. Hardworking Communication",Data Analyst
"I am a passionate Python Developer with experience in PyTorch, Python, NumPy, Pandas, TensorFlow, Flask. I have worked on various projects using these technologies. I am looking for a challenging role. Degree in Computer Science Communication",Python Developer
"I am a passionate Software Tester with experience in Automation, QTP, JUnit, LoadRunner, Test Cases, Manual Testing, JIRA, Selenium, Regression Testing, PyTest, Bug Tracking. I have worked on various projects using these technologies. I am looking for a challenging role. Team player Degree in Computer Science",Software Tester
"I am a passionate Java Developer with experience in Maven, JDBC, OOP, JSP, Gradle, Spring, Multithreading, Java, Servlets, Microservices, J2EE. I have worked on various projects using these technologies. I am looking for a challenging role. Problem solving Communication",Java Developer
"I am a passionate Web Developer with experience in SQL, CSS, Flask, Vue, React, Node.js, HTML, JavaScript, REST, Frontend, Backend, Django, API, Git. I have worked on various projects using these technologies. I am looking for a challenging role. Hardworking Communication",Web Developer
"I am a passionate Web Developer with experience in Backend, Vue, Angular, API, Node.js. I have worked on various projects using these technologies. I am looking for a challenging role. Problem solving Hardworking",Web Developer
"I am a passionate Software Tester with experience in QTP, JUnit, JIRA, Test Cases, Selenium, Automation, Manual Testing, Regression Testing, PyTest, LoadRunner, Bug Tracking. I have worked on various projects using these technologies. I am looking for a challenging role. Problem solving Communication",Software Tester
"I am a passionate Software Tester with experience in Manual Testing, Test Cases, PyTest, LoadRunner, Bug Tracking, Regression Testing, JIRA, QTP. I have worked on various projects using these technologies. I am looking for a challenging role. Hardworking Communication",Software Tester
"I am a passionate Data Analyst with experience in SQL, Data Visualization, Excel, EDA, NumPy, Tableau, Matplotlib, Python, Statistics, Power BI, Pandas, Seaborn, Cleaning. I have worked on various projects using these technologies. I am looking for a challenging role. Problem solving Degree in Computer Science",Data Analyst
"I am a passionate Software Tester with experience in Regression Testing, QTP, LoadRunner, JUnit, Automation, Bug Tracking. I have worked on various projects using these technologies. I am looking for a challenging role. Team player Degree in Computer Science",Software Tester
"I am a passionate Java Developer with experience in Gradle, Servlets, Spring, OOP, Hibernate, Java, Microservices. I have worked on various projects using these technologies. I am looking for a challenging role. Degree in Computer Science Problem solving",Java Developer
"I am a passionate Python Developer with experience in TensorFlow, Pandas, Automation, Django, FastAPI, Keras, NumPy, Python, Scripting, PyTorch. I have worked on various projects using these technologies. I am looking for a challenging role. Communication Hardworking",Python Developer
"I am a passionate Python Developer with experience in Django, Flask, Python, Pandas, Keras, Scikit-learn. I have worked on various projects using these technologies. I am looking for a challenging role. Hardworking Team player",Python Developer
"I am a passionate Software Tester with experience in PyTest, JUnit, Manual Testing, Automation, Selenium, LoadRunner, Test Cases, Bug Tracking, JIRA, Regression Testing, QTP. I have worked on various projects using these technologies. I am looking for a challenging role. Communication Degree in Computer Science",Software Tester
"I am a passionate Designer with experience in Illustrator, Sketch, Prototyping, UI/UX, Photoshop, Adobe XD, Figma, Wireframing, User Research, Creative, InDesign. I have worked on various projects using these technologies. I am looking for a challenging role. Degree in Computer Science Problem solving",Designer
"I am a passionate Python Developer with experience in Django, TensorFlow, Scripting, Scikit-learn, Flask, PyTorch, Keras, FastAPI. I have worked on various projects using these technologies. I am looking for a challenging role. Communication Team player",Python Developer
"I am a passionate Python Developer with experience in Scikit-learn, Python, Scripting, TensorFlow, PyTorch, FastAPI, Pandas, Automation, Django, Keras, NumPy. I have worked on various projects using these technologies. I am looking for a challenging role. Degree in Computer Science Team player",Python Developer
"I am a passionate Data Analyst with experience in Matplotlib, Seaborn, Cleaning, Pandas, Python, Excel, NumPy, Tableau, Statistics. I have worked on various projects using these technologies. I am looking for a challenging role. Communication Team player",Data Analyst
"I am a passionate Software Tester with experience in Regression Testing, LoadRunner, Selenium, Test Cases, PyTest, JIRA, Manual Testing, Automation, QTP. I have worked on various projects using these technologies. I am looking for a challenging role. Hardworking Team player",Software Tester
"I am a passionate Java Developer with experience in Spring, JSP, Maven, JDBC, J2EE, Java, Hibernate, Multithreading, Gradle, Servlets, Microservices, OOP. I have worked on various projects using these technologies. I am looking for a challenging role. Problem solving Team player",Java Developer
"I am a passionate Data Analyst with experience in NumPy, Cleaning, Matplotlib, Seaborn, Pandas, SQL, Power BI, Python, Excel. I have worked on various projects using these technologies. I am looking for a challenging role. Communication Team player",Data Analyst
"I am a passionate Data Analyst with experience in Tableau, NumPy, Data Visualization, Pandas, Python, Seaborn, Power BI, Excel, EDA. I have worked on various projects using these technologies. I am looking for a challenging role. Hardworking Problem solving",Data Analyst
"I am a passionate Designer with experience in UI/UX, Adobe XD, Illustrator, Sketch, Photoshop, Prototyping. I have worked on various projects using these technologies. I am looking for a challenging role. Communication Degree in Computer Science",Designer
"I am a passionate Python Developer with experience in Scikit-learn, Python, NumPy, FastAPI, Keras. I have worked on various projects using these technologies. I am looking for a challenging role. Degree in Computer Science Problem solving",Python Developer
"I am a passionate Web Developer with experience in SQL, Frontend, React, Backend, Vue, Angular, Git, JavaScript, API, REST. I have worked on various projects using these technologies. I am looking for a challenging role. Hardworking Degree in Computer Science",Web Developer
"I am a passionate Python Developer with experience in Django, Scikit-learn, Automation, Keras, FastAPI, NumPy, Python, TensorFlow, Flask, Pandas, PyTorch. I have worked on various projects using these technologies. I am looking for a challenging role. Team player Hardworking",Python Developer
"I am a passionate Data Analyst with experience in Power BI, Python, SQL, Data Visualization, Tableau. I have worked on various projects using these technologies. I am looking for a challenging role. Problem solving Hardworking",Data Analyst
"I am a passionate Java Developer with experience in Gradle, Java, Hibernate, JDBC, Maven, J2EE, Multithreading. I have worked on various projects using these technologies. I am looking for a challenging role. Team player Hardworking",Java Developer
"I am a passionate Designer with experience in Adobe XD, Figma, UI/UX, Sketch, Creative, Wireframing, Prototyping, User Research, InDesign, Photoshop, Illustrator. I have worked on various projects using these technologies. I am looking for a challenging role. Problem solving Communication",Designer
"I am a passionate Designer with experience in Photoshop, Adobe XD, Wireframing, Creative, Illustrator, InDesign, Sketch, UI/UX. I have worked on various projects using these technologies. I am looking for a challenging role. Degree in Computer Science Communication",Designer
"I am a passionate Designer with experience in Prototyping, Figma, Creative, Sketch, Wireframing, Illustrator. I have worked on various projects using these technologies. I am looking for a challenging role. Team player Degree in Computer Science",Designer
"I am a passionate Java Developer with experience in Multithreading, J2EE, Servlets, Spring, Gradle, Java, Microservices, JSP, Maven, OOP, JDBC. I have worked on various projects using these technologies. I am looking for a challenging role. Problem solving Hardworking",Java Developer
"I am a passionate Data Analyst with experience in EDA, Matplotlib, Tableau, Data Visualization, Cleaning, Statistics, Python, Pandas, Seaborn, SQL. I have worked on various projects using these technologies. I am looking for a challenging role. Team player Hardworking",Data Analyst
"I am a passionate Software Tester with experience in QTP, Automation, Selenium, Test Cases, Regression Testing, Bug Tracking, LoadRunner, PyTest, JUnit. I have worked on various projects using these technologies. I am looking for a challenging role. Communication Problem solving",Software Tester
"I am a passionate Python Developer with experience in Keras, Django, FastAPI, Scikit-learn, Python, TensorFlow, Pandas. I have worked on various projects using these technologies. I am looking for a challenging role. Team player Problem solving",Python Developer
"I am a passionate Software Tester with experience in PyTest, LoadRunner, JIRA, QTP, Manual Testing, Automation, Regression Testing, Selenium, Test Cases. I have worked on various projects using these technologies. I am looking for a challenging role. Communication Hardworking",Software Tester
"I am a passionate Python Developer with experience in Python, TensorFlow, Scikit-learn, FastAPI, Scripting, PyTorch, Flask, Pandas, Django, Keras. I have worked on various projects using these technologies. I am looking for a challenging role. Communication Degree in Computer Science",Python Developer
"I am a passionate Java Developer with experience in Hibernate, J2EE, Java, Spring, Maven, Servlets, JDBC, Microservices. I have worked on various projects using these technologies. I am looking for a challenging role. Hardworking Degree in Computer Science",Java Developer
"I am a passionate Software Tester with experience in Automation, JUnit, QTP, LoadRunner, PyTest, Manual Testing. I have worked on various projects using these technologies. I am looking for a challenging role. Problem solving Hardworking",Software Tester
"I am a passionate Software Tester with experience in Bug Tracking, QTP, JIRA, PyTest, Selenium. I have worked on various projects using these technologies. I am looking for a challenging role. Communication Degree in Computer Science",Software Tester
"I am a passionate Data Analyst with experience in Pandas, Seaborn, Excel, Statistics, SQL, Python, Power BI, Tableau, Cleaning, NumPy, Data Visualization, EDA, Matplotlib. I have worked on various projects using these technologies. I am looking for a challenging role. Problem solving Communication",Data Analyst
"I am a passionate Java Developer with experience in Java, Microservices, Servlets, Spring, Gradle, JSP, Maven, Multithreading, Hibernate, J2EE, JDBC, OOP. I have worked on various projects using these technologies. I am looking for a challenging role. Hardworking Problem solving",Java Developer
"I am a passionate Data Analyst with experience in Statistics, Power BI, Data Visualization, Seaborn, Cleaning, NumPy. I have worked on various projects using these technologies. I am looking for a challenging role. Communication Degree in Computer Science",Data Analyst
"I am a passionate Designer with experience in Sketch, Wireframing, Figma, Prototyping, Photoshop. I have worked on various projects using these technologies. I am looking for a challenging role. Hardworking Team player",Designer
"I am a passionate Java Developer with experience in J2EE, JDBC, Java, JSP, Servlets, Gradle, Microservices, OOP, Maven, Hibernate. I have worked on various projects using these technologies. I am looking for a challenging role. Communication Problem solving",Java Developer
"I am a passionate Data Analyst with experience in Tableau, Excel, Power BI, EDA, Pandas, Data Visualization, Python, NumPy, Matplotlib. I have worked on various projects using these technologies. I am looking for a challenging role. Problem solving Team player",Data Analyst
